track_name,artist_name,frequency,song_ids,release_date,popularity,images,preview,acousticness,danceability,energy,key,instrumentalness,liveness,loudness,mode,speechiness,valence,tempo,time_signature,label
A.M.,One Direction,4,5omYVLodGmaxnhua99xIE8,2015-11-13,65,https://i.scdn.co/image/ab67616d0000b273241e4fe75732c9c4b49b94c3,https://p.scdn.co/mp3-preview/3a45ede567e68e4b7d9d4af079ce1c6fea895dd2?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.227,0.586,0.527,3,0.0,0.0963,-4.905,1,0.0309,0.506,141.839,4,nina
AHHH HA,Lil Durk,3,54VFhe501kUbDYj2OrueMp,2022-02-22,68,https://i.scdn.co/image/ab67616d0000b273b56e0c58820752dba67dc1fd,https://p.scdn.co/mp3-preview/0dd3316c45534805885f13b3ae93b8abcb3a6d09?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.000114,0.676,0.61,1,1.73e-06,0.191,-9.185,1,0.273,0.519,156.005,4,nina
About Damn Time,Lizzo,73,1PckUlxKqWQs3RlWXVBLw3,2022-04-14,90,https://i.scdn.co/image/ab67616d0000b273b817e721691aff3d67f26c04,https://p.scdn.co/mp3-preview/1e881f08e10f2f8dbac20185389fdacb1ea42342?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.0995,0.836,0.743,10,0.0,0.335,-6.305,0,0.0656,0.722,108.966,4,nina
Acquainted,The Weeknd,5,7uJH0YdSZL6psjxI6Xy08b,2015-08-28,75,https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b,https://p.scdn.co/mp3-preview/02fc940e5b1c5255bd0e44083bd583bcca061ed3?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.482,0.372,0.478,7,0.0,0.0844,-9.835,0,0.0503,0.254,101.102,4,nina
Adore You,Harry Styles,6,3jjujdWJ72nww5eGnfs2E7,2019-12-13,85,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,https://p.scdn.co/mp3-preview/66131b40a641da2bef484eb00fc1f4f40f2c33c4?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.0237,0.676,0.771,8,7e-06,0.102,-3.675,1,0.0483,0.569,99.048,4,nina
Adore You,Miley Cyrus,3,5AnCLGg35ziFOloEnXK4uu,2013-10-04,70,https://i.scdn.co/image/ab67616d0000b2736b18d0490878750cd69abf2c,https://p.scdn.co/mp3-preview/46ce094e5e2d87a7a6d6f35d3f05b1a4119840f0?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.111,0.583,0.655,0,3.57e-06,0.113,-5.407,1,0.0315,0.201,119.759,4,nina
After Last Night (with Thundercat & Bootsy Collins),Bruno Mars,23,6jGAh1bFnXt1Muj9zeHveZ,2021-11-12,60,https://i.scdn.co/image/ab67616d0000b273d0bbd3ea2ec554f17a6603cc,https://p.scdn.co/mp3-preview/09b6e700237cae4bcc1b42f0daeea5564f11dcf9?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.0297,0.651,0.703,0,0.0,0.0608,-8.958,0,0.0816,0.647,140.051,4,nina
"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",Kali Uchis,20,1otG6j1WHNvl9WgXLWkHTo,2018-04-06,79,https://i.scdn.co/image/ab67616d0000b27390b4e1905b1fc48c537ec053,https://p.scdn.co/mp3-preview/b1294cded3a0853e6f204952e832d15901753f0f?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.301,0.702,0.659,4,0.00201,0.218,-6.766,0,0.13,0.843,79.64,4,nina
Afterglow,Taylor Swift,5,1SymEzIT3H8UZfibCs3TYi,2019-08-23,76,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,https://p.scdn.co/mp3-preview/0e2d959373cfe9c92220bbe8af36988742286698?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.13,0.756,0.449,9,0.0,0.114,-8.746,1,0.0344,0.399,111.011,4,nina
All For Us,Labrinth,4,0dSXFiK5FccucA4wo3ZVpe,2019-11-22,57,https://i.scdn.co/image/ab67616d0000b273e4c03429788f0aff263a5fc6,https://p.scdn.co/mp3-preview/7f9deb4a86f1bfc2ec1899a691f51d3a02847b8e?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.0115,0.487,0.663,3,0.00013,0.352,-6.651,1,0.0657,0.178,141.885,4,nina
All For Us - from the HBO Original Series Euphoria,Labrinth,6,10hMM5nsZQf66ldBlgWBfG,2019-08-04,77,https://i.scdn.co/image/ab67616d0000b27325c4bac75a46caa3e645896a,https://p.scdn.co/mp3-preview/e0f4ca940bf28fd0547d7f7477640163ce8b3d61?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.0165,0.348,0.652,3,0.000264,0.33,-7.145,1,0.0931,0.172,70.956,4,nina
All My Love - Remaster,Led Zeppelin,10,5UdShl12E6eHEgS8lQ1bPr,2007,52,https://i.scdn.co/image/ab67616d0000b27322f1b6c28ce5735646b2e569,https://p.scdn.co/mp3-preview/2ceb64ff4c77048c89c4cf0ed011b8eff84236a2?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.123,0.552,0.791,7,1.42e-05,0.162,-8.356,1,0.0303,0.698,91.2,4,nina
All My Loving - Remastered 2009,The Beatles,23,4joiWvli4qJVEW6qZV2i2J,1963-11-22,67,https://i.scdn.co/image/ab67616d0000b273608a63ad5b18e99da94a3f73,https://p.scdn.co/mp3-preview/d1c969904eb4d70812a58cde57004c10174b8f95?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.207,0.416,0.563,1,0.0,0.343,-8.724,0,0.0298,0.9,77.56,4,nina
All Night,The Vamps,21,0dXNQ8dckG4eYfEtq9zcva,2017-07-14,72,https://i.scdn.co/image/ab67616d0000b273f36a4e2e1687e678f29328cb,https://p.scdn.co/mp3-preview/467fcf89b67f16e5ac128adfdcf355e5a2a15153?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.0041,0.538,0.804,8,0.0,0.33,-5.194,1,0.0358,0.507,144.992,4,nina
